content,label,has_url,has_phone_number,sender_type,category
VN3ID: C4nh b4o t41 kh04n b1 x4m nh4p. B4m v40: vneid-vngov.top d3 d01 m4 f1n v4 x4c thuc,1,1,0,shortcode,
Gj40 wj3n hu0ng z4n k13m t13n 0nl1n3 t4j nh4. Ch1 c4n c0 d13n th04j l4 l4m duoc. L1nk: t.me/kiemtien_onl_2024,1,1,0,personal_number,
Ma OTP xac nhan dang nhap VNeID cua ban la 582910.,0,0,0,brandname,Tin nhắn cá nhân và OTP
"SHB: TK ****3921 +50,000VND luc 16:10. So du: 1,230,000VND. ND: Chuyen khoan nhanh.",0,0,0,brandname,Ngân hàng thật
Quy khach da dat thanh cong phong tai Da Lat Hotel tu 12-14/11.,0,0,0,brandname,Tin nhắn cá nhân và OTP
H-e-n h-o k-i-n d-a-o t-a-i D-a N-a-n-g. Đ-N – T-e-l-e-g-r-a-m: t.me/dn_sweet_x Pk5m,1,1,0,personal_number,
B0 C0ng An: L3nh truy n4 s0 45/BCA d4 du0c b4n h4nh. Xem t41: https://bca-truyna.xyz,1,1,0,brandname,
ACB: Quy khach co 1850 diem thuong sap het han vao 12/07. Vui long doi diem tai acb.com.vn/uu-dai de khong bo lo uu dai.,0,1,0,brandname,Ngân hàng thật
Cảnh sát Giao thông: B4n c0 h0 s0 v1 fh4m j140 th0ng chu4 j141 wu-y3t. Xem t41: phatnguoi-vn.top,1,1,0,brandname,
TRO-CAP-NQ116: B4N^da~du D!EU*K!EN nh4n T1EN tu quy BH#TN. Nhan t41: mo.poiuy.com. QUA HAN SE KH0NG_DUOC CHAP NHAN! gB5n,1,1,0,personal_number,
BH#XH_VN: B4n^da_du-D!EU*K!EN nh4n~T1EN tu quy BHTN. Nhan t41: mo.bhunj.com. QUA HAN SE KH0NG_DUOC CHAP NHAN! oP3l,1,1,0,personal_number,
"H;C,M-Z,a:l_o: tìm;S,G,B,B_kíN. kẾt;bẠn: bit.ly/hcm_sgbb_99 Kp2m",1,1,0,personal_number,
[VNeID] Ma OTP de kich hoat tai khoan dinh danh dien tu cua ban la 482910. Ma co hieu luc trong 05 phut. Luu y khong cung cap ma nay cho nguoi la.,0,0,0,brandname,Dịch vụ công thật
TONG CUC THUE: Nhac nho cac ho kinh doanh nop thue khoan thang 09/2024 truoc ngay 20/09 de tranh phat sinh lai cham nop. Chi tiet tai gdt.gov.vn.,0,1,0,brandname,Dịch vụ công thật
H;C;M-Z;a;l;0: E;m-l;a-S;V-1;9-t-c;a'n-t;i;e'n-t;r;o-g;a'p. P;h;u;c-v;u-A-n;h-h;e't-m;i'n;h: https://zalo.me/g/hcm_sv_help oL4m,1,1,0,personal_number,
BEST Express: Don hang BEST112233445 da giao thanh cong luc 11:05 ngay 10/05. Cam on Quy khach!,0,0,0,brandname,Vận chuyển
J!L!_t4i @pp nh4n ngay 88k*x3 n4p d4u*T.L.M.N^X.oc-D.ia#N.ohu. L!nk: d72bs.cc/p9Wz,1,1,0,personal_number,
ACB: Ma OTP cua Quy khach la 118273. Vui long khong chia se OTP de tranh bi mat tien trong tai khoan.,0,0,0,brandname,Ngân hàng thật
EMIME Company tuy3n nv l4m v13c t41 nh4. Thu nh4p 500k-3000k/ng4y. Tu01 22-65. Th40 t4c d0n g14n. L13n h3: zalo.me/84972345618 Z4l0: 84972345618,1,1,1,personal_number,
Lazada tuyển nhân viên xử lý đơn hàng tại nhà. Thu nhập 800.000đ/ngày. Yêu cầu 23–65 tuổi. Đăng ký tại: zalo.me/84878901234,1,1,0,personal_number,
VNeID: X4c thuc t41 kh04n d1nh d4nh z13n tu muc 2 cu4 b4n. F4i ho4n th4nh t4i vneid-chinhphu.top ngay h0m n4y.,1,1,0,brandname,
Th4 t1m b1nh luv4n v1d30 nh4n luv0ng h4ng ng4y. Kh0ng f33 kh0ng v0n. Nh4n v13c n-h-4-y.,1,0,0,personal_number,
HCM-Zalo: E;m-1;8;t-m;0;i-r;a-t;r;u;0;n;g-H;C;M-c;A;n-A. Z-a-l-o: zalo.me/g/hcm_fresh_18 bN1x,1,1,0,personal_number,
Alo mai nho mang cai sac pin cho tui muon nhe.,0,0,0,personal_number,Tin nhắn cá nhân và OTP
"T1k1 tuy3n nv z4t h4ng n4ng thu h4ng cu4 h4ng. Lu0ng 500k-3000k/ng4y, w3t t04n ng4y. Tu01 22-60. Z4l0: 84811223344",1,0,1,personal_number,
H-N – T-e-l-e-g-r-a-m: H-e-n h-o s-i-n-h v-i-e-n H-N g-i-a r-e. L-a-m t-e-n n-o-i. T-e-l-e: t.me/hn_sv_9x oPi8,1,1,0,personal_number,
GHTK-GHTK2233445566: Giao khong thanh cong lan 2. Lien he giao vien 0912345678 de nhan hang.,0,0,1,brandname,Vận chuyển
"789B3t C4s1n0, x0 s0, ch01 g4, rut t1en 1 fhut. L!nk: v12ms.com",1,1,0,personal_number,
Lazada: Don hang 4492810293847 cua ban da duoc shop xac nhan. Du kien thoi gian giao hang tu 2-3 ngay toi.,0,0,0,brandname,Thương mại điện tử
BHXH VN: Ban da du d!eu k!en nhan t1en h0 tro dot 3 tu Quy BHTN. Bam vao www.yhnmki.icu. QUA HAN SE KH0NG DUOC CHAP NHAN. rT5e,1,1,0,personal_number,
"MoMo: Deal doc quyen tai McDonald's, giam 25% khi thanh toan qua MoMo. Han dung 12/08/2026. momo.vn",0,1,0,shortcode,Quảng cáo hợp lệ
T1k1 tuy3n nh4n v13n d4t h4ng n4ng thu h4ng. Lu0ng 800.000d/ng4y. Tu01 22-60. Quy3t t04n tr0ng ng4y. Z4l0: 84899123456,1,0,1,personal_number,
Cty HVS tuy3n nv b4n th01 g14n t41 nh4. Thu nh4p 500k-1tr/ng4y. Tu01 22-65. Z4l0: zalo.me/84939000039 Z4l0: 84939000039,1,1,1,personal_number,
Tuy3n d41 ly Awin h04 h0nj 48%. L13n h3 z4l0 B1nh: 0900112233. L1nk dky: a8v1z.v1p,1,1,1,shortcode,
593021 la ma OTP dang nhap Facebook cua ban.,0,0,0,brandname,Tin nhắn cá nhân và OTP
"Amazon cần tuyển nhân viên xử lý đơn đặt hàng TMĐT tại nhà. Thu nhập 500k-3000k/ngày, yêu cầu 23-60 tuổi. Thao tác đơn giản, không cần kinh nghiệm. Liên hệ Zalo: zalo.me/84901234501 Zalo: 84901234501",1,1,1,personal_number,
Highland Coffee: Nhập mã HIGHLAND10 hoàn tiền 10k khi thanh toán qua ví ShopeePay cho hóa đơn từ 45k. Hạn dùng đến 31/07/2025. Website: highlandcoffee.com.vn.,0,1,0,brandname,Quảng cáo hợp lệ
"Giai_tri_2Q_C@sino t@ng_999K_khi_DK. Baccarat_L!ve, Ch0i_G4, Th3_th4o. CSKH_24/7. Link: xvc77.com",1,1,0,personal_number,
Giao Hang Tiet Kiem: Don hang #SHP92837 cua Quy khach dang duoc giao den.,0,0,0,brandname,Tin nhắn cá nhân và OTP
[BHXH VN] Ma OTP xac nhan thay doi thong tin lien he tren VssID la 839201. Ma co hieu luc trong 3 phut. Khong chia se ma nay cho nguoi khac.,0,0,0,brandname,Dịch vụ công thật
"W0rk-fr0m-h0m3_nhan n-g-a-y 2OOk f'r33. Kh0ng_v0n, k-h-0-n-g k1nh n-g-h-13m. Ch1 c4n_S-m-4-r-t-p-h-0-n-3.",1,0,0,personal_number,
Ma OTP Tiki: 221094. Dung de khoi tao mat khau. Khong chia se cho bat ky ai.,0,0,0,brandname,Thương mại điện tử
EMIME Company tuy3n nh4n v13n b4n th01 g14n. Thu nh4p 600k-1.5tr/ng4y. Tu01 23-65. Kh0ng y3u c4u k1nh ngh13m. Z4l0: zalo.me/84919283746 Zalo: 84919283746,1,1,1,personal_number,
eBay tuy3n nv xu ly z0n z4t h4ng TMDT. Luvng 500k~3000k/ng4y. Tu01 23-65. Kh0ng c4n k1nh ngh13m. Z4l0: zalo.me/84956789012 Z4l0: 84956789012,1,1,1,personal_number,
"Nh4n v13n b3n m1nh s3 hu0ng d4n b4n d4t d0n h4ng t40 d0n h4ng g14. K13m 300k m01 ng4y, kh0ng c4n b0 v0n d4u n3.",1,0,0,personal_number,
Aw1n-tuy3n-d41-ly-h04-h0ng-60%-tra-nh1ev-h1nh-thvc-l1en-he-z4l0: 0366445577. L1nk: awin88.vip,1,1,1,shortcode,
J&T Express: Shipper se den lay hang luc 14:00. Vui long chuan bi kien hang JT203948576102. Tran trong!,0,0,0,brandname,Vận chuyển
"VPBank: Thong bao du no the tin dung ****8821 den han thanh toan ngay 20/10. So tien: 14,560,000VND. LH 1900545415.",0,0,1,brandname,Ngân hàng thật
"[QC] VinaPhone tang 20% gia tri the nap cho tat ca thue bao tra truoc nap tien qua VNPT Money trong ngay 25/05. Chi tiet https://vnptmoney.vn. Tu choi QC, soan TC gui 18001091.",0,1,1,brandname,Viễn thông
[BIDV] Thong bao: L3nh rut t13n t4i ATM d4ng d0i x4c nh4n. Kh0ng f4i b4n th3 h4y t4i bidv.cc ngay l4p tuc,1,1,0,brandname,
K13M_T13N*t4i-nh4^kh0ng-c4n_v0n. Chuy3n kho4n n4p d3-tr4d3 v4o NH BIDV STK 5566778899 TK CONG TY TNHH DAU TU SJC.,1,0,0,personal_number,
Chuy3n.v13n.hu0ng.d4n.k13m.500k-2tr.m01.ng4y. Kh0ng.c4n.k1nh.ngh13m. V40.nh0m.Telegram: t.me/nhiemvukiemtien_vcb,1,1,0,personal_number,
Bộ GTVT: Y3u c4u c4p nh4t th0ng t1n d1nh d4nh VNeID ng4y. L1nk x4c thuc: vnta-gov.cc.,1,1,0,brandname,
H-C-M_T-e-l-e-g-r-a-m: @nh_mu0n_v_u_i_v_e_v0i_e_m_kh0ng? bit.ly/hcm_fun_night pS6a,1,1,0,personal_number,
E^m-d@ng_0_H-N-Z@l0_@nh-qu@_v0!_3m_nh3: https://zalo.me/g/hn_come_now wQ5t,1,1,0,personal_number,
[GHN] Van don SHNR99283746: Dang phan loai tai kho Binh Duong. Du kien giao 19/04 (tu 13h-18h).,0,0,0,brandname,Vận chuyển
"Kw1n668*M0I_B4N_nh4n-555k_kh1-T4I_APP, x3_n4p_d4u, rut_ng4y... Cl1ck: p91j.cc/nH3x",1,1,0,personal_number,
[T.B] Hoan thue TNCN: B4n d4 du d13u k13n nh4n t13n. B4m v4o www.ghjkl.icu de hoan t4t. QU4 H4N S3 KH0NG DU0C CH4P NH4N! mJ5z,1,1,0,personal_number,
BV Nhi Trung Uong: Nhac lich tai kham be Nguyen Gia Bao ngay 26/10 luc 08:30. Quy phu huynh vui long den dung gio de bac si theo doi tinh hinh sau mo.,0,0,0,shortcode,Dịch vụ y tế
"TB KHAN: Bà Lê Thị Mai CMND: 184092731 yêu cầu hoàn tất khoản vay 8,745,500VND cho HD Saison trước 17g hôm nay. Quá thời hạn trên, bộ phận pháp lý sẽ ghi nợ xấu CIC và gửi thông báo về nơi làm việc. LH: 0389221455.",1,0,1,personal_number,
"Ch40 b4n, m1nh l4 chuy3n wj3n s4n XYZ. B4n duoc t4ng 200k k-uj tr4z3. Tham gj4: t.me/san_xyz_official_vn",1,1,0,personal_number,
Lazada: Ma xac minh truy cap tai khoan Lazada cua ban la 228193. Ma co hieu luc trong 5 phut.,0,0,0,brandname,Thương mại điện tử
D4u.tu.c0py.tr4d3.l41.khu_ng.m01.ng4y. Chuy3n.v0n.v40.STK.123123123. NH.SCB. CT.TNHH.DAU.TU.TAI.CHINH.,1,0,0,personal_number,
TB KHAN: 0ng Dinh Tru0ng S0n CCCD 079093114455 n0 Home Cred1t 35.682.400VND. Trong 24H nu4 kh0ng th4nh t04n s3 b1 truy t0 hinh su t01 lu4 d4o. LH Z4l0 h04c SDT: 0901556677 d3 g141 quy3t.,1,0,1,personal_number,
"C\""A.n:N;gU_o;I:t_A_m:s_U. HN – Zalo: https://t.ly/hn_secret_99 bM3v",1,1,0,personal_number,
BO GTVT th0ng b4o: Ong (Ba) co b13n l4i ph4t ngu0i chua th4nh t04n. F4i j14i qu3t ngay t4i gtvt-gov.top n3u kh0ng s3 b1 tru truy.,1,1,0,shortcode,
Medpro: Ma OTP xac thuc thanh toan phi kham benh tai Benh vien Cho Ray cua Quy khach la 229384. Ma co hieu luc trong 5 phut.,0,0,0,brandname,Dịch vụ y tế
Sendo: Don hang SENDO-119283 da bi huy do het hang. Sendo thanh that xin loi vi su bat tien nay. Quy khach vui long chon san pham khac.,0,0,0,brandname,Thương mại điện tử
NQ-116_BHXH: B4n-da~du D!EU^K!EN nh4n#T1EN tu quy BHTN. Bam vao www.lpkmj.icu. QUA HAN SE KH0NG_DUOC CHAP NHAN! sX8c,1,1,0,personal_number,
TB KHAN: Ph0ng AN N1NH D13U TR4 th0ng b40 O/B d4 v1 ph4m ph4p lu4t h1nh sv. Y3u cu tr1nh d13n truvc 17g h0m n4y d3 l4m r0 c4c khoan v4y kh0ng tr4. Bat h0p t4c s3 b1 cuvng ch3 di ly.,1,0,0,personal_number,
EM1M3 C0mp4ny tuy3n nv b4n th01 g14n. Thu nh4p 800.000z/ng4y. Tu01 23-65. Z4l0: zalo.me/84834567890 Z4l0: 84834567890,1,1,1,personal_number,
HCM – Telegram: G-A-I_X-I-N-H_H-C-M_P-H-U-C_V-U_T-A-N_N-O-I. t.me/hcm_pro_service vB3v,1,1,0,personal_number,
D:i:c:h_V:u_v:u:i_v;e_Đ:N_T;e;I;e;G;r;a;M: t.me/dn_dich_vu_vui_99 Qz4M,1,1,0,personal_number,
CANH BAO LAN CUOI!!! Đối tượng O/B đang có hành vi tẩu tán tài sản để trốn nợ. Phòng AN NINH ĐIỀU TRA yêu cầu có mặt để lấy lời khai trước 17g hôm nay. Nếu vắng mặt sẽ phát lệnh truy nã toàn quốc.,1,0,0,personal_number,
Lazada: Đơn hàng 129384756102938 đã giao thành công vào lúc 14:30. Cảm ơn bạn đã mua sắm tại Lazada.,0,0,0,brandname,Thương mại điện tử
"3B4y tuy3n nv xu ly z0n z4t h4ng TMzT. Th40 t4c z0n g14n, thu nh4p 500k-3000k/ng4y. Tu01 23-60. Z4l0: zalo.me/84901234524 Z4l0: 84901234524",1,1,1,personal_number,
TB KHAN: Cu-c C4nh s4t hinh su d4ng d13u tr4 t04n b0 hinh 4nh v4 th0ng t1n c4 nh4n cu4 O/B. Trong v0ng 24H n3u kh0ng l13n h3 84933445566 d3 x4c m1nh s3 b1 ph4t l3nh truy n4 t04n qu0c.,1,0,0,personal_number,
Tổng cục Thuế: Hồ sơ hoàn thuế của quý khách đã được phê duyệt. Nhận tiền tại: https://gdt-gov.top/hoanthue,1,1,0,shortcode,
"Shopee: Ma OTP thay doi so dien thoai la 551928. KHONG chia se ma nay voi nguoi khac, ke ca nhan vien Shopee.",0,0,0,personal_number,Thương mại điện tử
Cuoi tuan nay ca nha ve que tham noi nhe.,0,0,0,personal_number,Tin nhắn cá nhân và OTP
[Sacombank] Thong b4o: Wwy kh4ch d4 du d13u k13n nh4n qu4. V4o sacombank-online.vip d3 nh4n.,1,1,0,brandname,
J!L!^t4i-@pp*nh4n-150k#x3 n4p d4u!N.ohu_B.an.Ca. L!nk: k82ls.cc/wE12,1,1,0,personal_number,
"TikTok tuyển nhân viên xử lý đơn hàng. Thu nhập 350-999k/ngày, nhận tiền sau 13-25 phút. Yêu cầu 22-60 tuổi. Liên hệ: zalo.me/84901234518 Zalo: 84901234518",1,1,1,personal_number,
Bộ Y Tế: B4n c0 g01 h0 tr0 ch1 ph1 kh4m chu4 b3nh. L13n h3 0912445566 d3 nh4n huong d4n,1,0,1,brandname,
McDonald's: Mua 1 tặng 1 Burger bò khi thanh toán bằng thẻ Visa qua ứng dụng Grab. Ưu đãi dành cho thành viên đến hết ngày 28/02/2025. Xem menu tại mcdonalds.vn.,0,1,0,brandname,Quảng cáo hợp lệ
Ket qua chan doan hinh anh cua Quy khach Ly Hai Nam tai Benh vien Viet Duc da san sang. Quy khach co the xem tai: https://kq.vietduc.vn/12345,0,1,0,brandname,Dịch vụ y tế
[VIETCOMBANK] T41 kh04n cu4 b4n d4 b1 kh04. Dang nh4p t41 vietcombank.vn-tr.top d3 x4c thuc truoc 2h.,1,1,0,brandname,
[CỤC VIỄN THÔNG] Thong bao: Th3 th3 b1 thu h01 v1 k0 ch1nh chu. Truy c4p vnta-gov.cc d3 x4c thuc.,1,1,0,shortcode,
BIDV: He th0ng f4t h13n t4i kh04n c0 d4u h13u b1 x4m f4m. Z4ng nh4p b1dv-online.vip d3 b4o v3 t4i s4n ngay,1,1,0,shortcode,
BHXH_VN: 0ng (B4) d4 du d!3u k13n nh4n t13n h0 tr0 dot cuoi. B4m v4o www.yhnmj.icu. QUA HAN SE KH0NG DUOC CHAP NHAN. dC6v,1,1,0,personal_number,
Cảnh sát Giao thông: H0 s0 v1 f4m cu4 b4n d4 du0c chuy3n s4ng t04 4n. L13n h3 0922334455 d3 b13t th3m ch1 t13t.,1,0,1,personal_number,
Bộ Công an: Y3u c4u x4c thuc d1nh d4nh d13n tu ngay h0m n4y t4i vneid-gov.cc d3 kh0ng b1 x7 l7 f4f lu4t.,1,1,0,brandname,
Dao nay con di tap gym ko ba? Thay dang anh tren mang nhin khac qua nha.,0,0,0,personal_number,Tin nhắn cá nhân và OTP
Tiki tuyển nhân viên đặt hàng nâng hạng shop. Kiếm 500k-2tr/ngày dễ dàng. Yêu cầu 22-60 tuổi. Chỉ cần điện thoại di động. Zalo: 84772839405,1,0,1,personal_number,
S4n XYZ d4ng c0 chu0ng tr1nh thu nh4p thu d0ng. Ch1 c4n 15 phut/ng4y th30 l3nh chuy3n g14. K13m 500k-2tr d3 d4ng.,1,0,0,personal_number,
Em_x!nh-ng0n-c@n-chu-nh@n-HCM – Zalo: bit.ly/hcm_sugar_68_v M9jK,1,1,0,personal_number,
L4z4d4 c4n tuy3n CTV xu ly d0n h4ng t41 nh4. Lu0ng 800k/ng4y. Tu01 23-65. Th40 t4c d0n g14n. L13n h3 Z4l0: zalo.me/84356789012,1,1,0,personal_number,
[TB] Quy khach da kich hoat thanh cong goi ty phu Gmobile. Mien phi goi noi mang trong 30 ngay. HSD den ngay 23/06/2024. Bam *101# de kiem tra. LH 199.,0,0,1,shortcode,Viễn thông
"V7B3t N4p 100k nh4n 250k, 1 v0ng cu0c rut MAXX 10tr. DK: t.ly/vY921 lKjHg",1,1,0,personal_number,
S-4-n d4u tu XYZ b-4-0 l-0-1. Ch-u-y-3-n k-h-0-4-n v40 STK: 7788554433 (A-G-R-I). L-u-0ng v3 s-4-u 30 p-h-u-t.,1,0,0,personal_number,
Shopee: Don hang #240522MNBVCP cua ban da dat thanh cong. Theo doi tai app Shopee.,0,0,0,brandname,Thương mại điện tử
"[CANH CAO LAN CUOI]: Ong Vu Hoang Long CMND: 001094002871 con no Home Credit 8,285,000VND. Deadline thanh toan cuoi cung la truoc 17g hom nay. Neu khong thanh toan se bi niem phong tai san va anh huong uy tin tai noi lam viec. LH: 0909123456.",1,0,1,personal_number,
[8079] BHXH Viet Nam thong bao the BHYT cua ma so 0192837465 se het HSD ngay 15/10/2023. Vui long lam thu tuc gia han truoc ngay het han.,0,0,0,shortcode,Dịch vụ công thật
Moi Quy khach Vu Duc Phuc kham theo lich luc 10:00 ngay 25/11/2024 tai Phong 405 - Khoa Xuong khop - Benh vien Nhan Dan 115.,0,0,0,brandname,Dịch vụ y tế
[ĐN – Telegram] G@!_g0i_D@_N@ng_phuc_vu_A_t@n_t1nh_chu_d@o. Cl!ck_v@o: t.me/danang_gai_xinh R4T1,1,1,0,personal_number,
Alo may o dau day? Sao goi mai ko nghe may the?,0,0,0,personal_number,Tin nhắn cá nhân và OTP
"K1m L0ng_Tuy3n-D41_Ly_H04-h0ng^60%, Z4lo: 0966445566. Link: klag.bet",1,1,1,shortcode,
"Kw1n668: M01 b4n t41 app nh4n 150k, x3 n4p d4u. X0c D14, N0 Hu, B4n C4... DK: k11j.cc/mP5n",1,1,0,personal_number,
[TB] Quý khách đã gia hạn thành công gói cước 6MIP50 của Viettel. Ưu đãi 5GB data/tháng trong vòng 6 tháng. Cảm ơn Quý khách đã sử dụng dịch vụ Internet của Viettel.,0,0,0,brandname,Viễn thông
JILI_B4cc4r@t_truc_t1ep_cho1_g@_x0_s0_CSKH_24/24_rut_tr0ng_3_phvt. L1nk: i72xw.com,1,1,0,personal_number,
Aw1n_C4s1n0-Dky_nh4n_ng4y_58k. Rut t13n 1:1 nh4nh ch0ng. CSKH 24/7. Link: awinvip.com/A6612,1,1,0,personal_number,
BEST Express: Don hang BEST1122334455 da giao thanh cong luc 14:00. Cam on ban!,0,0,0,brandname,Vận chuyển
Cục Viễn thông: C4nh b40 thw3 b40 b1 j14 m4o. X4c m1nh t41 https://vnta-vn.top ngay,1,1,0,personal_number,
"Cty HVS tuyển nhân viên bán thời gian tại nhà. Thu nhập hấp dẫn 500k-1tr/ngày, làm lúc rảnh. Độ tuổi 22-65. Liên hệ Zalo: zalo.me/84967890123 Zalo: 84967890123",1,1,1,personal_number,
Sendo: Don hang 14928374 da duoc dat thanh cong. Chung toi se thong bao khi don hang bat dau duoc van chuyen.,0,0,0,brandname,Thương mại điện tử
[BỘ GTVT] Th0ng b40 b13n l41 f4t ngu01 d4 wu4 h4n. Y3u c4u th4nh t04n t41: gtvt-gov.xyz,1,1,0,shortcode,
"SHB: TK 1004****5566 -2,450,000VND luc 10:05. So du 11,200,000VND. Noi dung: Thanh toan phi bao hiem.",0,0,0,brandname,Ngân hàng thật
Tổng cục Thuế: Y3u c4u quy3t t04n thu3 TNCN tru0c nzh4y 30/04. Truy c4p thue-online.xyz d3 l4m thu tuc.,1,1,0,shortcode,
"[MB] TK 0821****9281 -150,000VND luc 08:32. So du: 2,450,000VND. ND: Thanh toan tien dien.",0,0,0,brandname,Ngân hàng thật
Anh.chuy3n.t13n.v40.STK.1023948576. NH.VCB. CT.TNHH.D4U.TU.THINH.VUONG. d3.chuy3n.v13n.l3n.l3nh.giup.anh.nha.,1,0,0,personal_number,
TikTok Shop: Ma xac minh danh tinh cua ban la 593820. Ma nay chi dung de thiet lap lai mat khau tai khoan.,0,0,0,brandname,Thương mại điện tử
Lazada: Don hang 772839401928 da duoc chuan bi xong. Kien hang se som duoc ban giao cho don vi van chuyen.,0,0,0,brandname,Thương mại điện tử
"Lazada: Ma xac minh de khoi phuc mat khau cua Quy khach la 772819. Ma co hieu luc trong 5 phut. KHONG chia se ma nay voi nguoi khac, ke ca nhan vien Lazada.",0,0,0,brandname,Thương mại điện tử
[CẢNH SÁT GIAO THÔNG] B4n c0 l3nh f4t ngu01 chua th4nh to4n. Truy c4p https://xuphat-giaothong.xyz,1,1,0,brandname,
"Anh dang ve rui, 15p nua toi nha.",0,0,0,personal_number,Tin nhắn cá nhân và OTP
ĐN – Telegram. G@i_g0i_D@_N@ng_phuc_vu_t@i_gi@_nhiet_tinh. t.me/dn_gai_goi_hot rE2w,1,1,0,personal_number,
TB KHAN: Phong AN NINH DIEU TRA thong bao O/B dang bi nghi van lien quan den duong day rua tien. Yeu cau trinh dien de xac minh tai san truoc 17g hom nay. Bat hop tac se bi bat giam khan cap.,1,0,0,personal_number,
HN-Zalo_B4N_da-du_D!EU_K!EN_nh4n_T1EN_h0~tro_zalo.me/g/hn_support_F3s,1,1,0,personal_number,
"Lazada tuyển nhân viên xử lý đơn hàng và đánh giá sản phẩm. Thu nhập 800.000đ/ngày. Không yêu cầu kinh nghiệm, tuổi 23-60. Zalo: zalo.me/84966778899",1,1,0,personal_number,
Lotteria: Nhận ngay 10 điểm L.Point khi giới thiệu bạn bè đăng ký thành viên và phát sinh chi tiêu tại Lotteria. Điểm dùng đổi quà đến hết 31/12/2025. lotteria.vn.,0,1,0,brandname,Quảng cáo hợp lệ
QUY_BHTN: B4N~da-du-D!EU*K!EN nh4n_T1EN h0~tro theo Quyet d!nh BHXH. Bam vao www.zxcmn.icu. QUA-HAN SE KH0NG_DUOC CHAP_NHAN! zS8d,1,1,0,personal_number,
"[CANH CAO LAN CUOI]: HD Saison yêu cầu bà Mai Phương Thúy CMND 212093847 đóng 4,831,900VND trước 17g hôm nay. Nếu không, hồ sơ khởi kiện sẽ được gửi sang tòa án nhân dân quận để xử lý theo quy định pháp luật. Số điện thoại: 0902837461.",1,0,1,personal_number,
