"Loại","Ngày","Name / Number","Sender","Nội dung"
"Đã nhận","24 thg 11, 2025 10:34:32","NAPTHE_VT","NAPTHE_VT","[TB] NẠP THẺ ĐỦ ĐẦY - DATA XÀI NGAY!
Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 25/11/2025. Tiền KM sử dụng truy cập Internet trong 15 ngày. Nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm . Chi tiết gọi 197 bấm phím 19 (0đ). Trân trọng."
"Đã nhận","21 thg 11, 2025 16:48:19","NAPTHE_VT","NAPTHE_VT","[TB] Nap lien tay, Khuyen mai ngay.
Tang 20% gia tri tat ca the nap vao tai khoan vien thong trong ngay 22/11/2025. Tien KM su dung truy cap Internet trong 15 ngay. Nap the online tai cac vi dien tu, ung dung thanh toan hoac tai https://viettel.vn/naptienkm . CT ap dung cho thue bao nhan duoc tin nhan. LH 198 (0d)."
"Đã nhận","18 thg 11, 2025 18:31:30","VNeID","VNeID","VNeID: Ma OTP 200927 co hieu luc trong 3 phut, su dung de xac thuc cho yeu cau lay lai mat khau. Vi ly do bao mat, tuyet doi khong duoc cung cap ma OTP nay cho bat ky ai. Tran trong!"
"Đã nhận","18 thg 11, 2025 15:36:10","NAPTHE_VT","NAPTHE_VT","[TB] Nap lien tay, Khuyen mai ngay.
Tang 20% gia tri tat ca the nap vao tai khoan vien thong trong ngay 19/11/2025. Tien KM su dung truy cap Internet trong 15 ngay. Nap the online tai cac vi dien tu, ung dung thanh toan hoac tai https://viettel.vn/naptienkm . CT ap dung cho thue bao nhan duoc tin nhan. LH 198 (0d)."
"Đã nhận","18 thg 11, 2025 15:24:12","179","179","[KHAO SAT] VIETTEL kinh moi Quy khach danh gia chat luong dich vu: Vui long cho biet muc do hai long voi dich vu THOAI DI DONG bang cach nhap so diem tu 1 den 5 va phan hoi lai tin nhan nay (mien phi):
4-5: Hai long
3: Binh thuong
1-2: Khong hai long"
"Đã nhận","18 thg 11, 2025 08:12:19","VNeID","VNeID","VNeID: Ma OTP 211045 co hieu luc trong 3 phut, su dung de xac thuc cho yeu cau kich hoat tai khoan. Vi ly do bao mat, tuyet doi khong duoc cung cap ma OTP nay cho bat ky ai. Tran trong!"
"Đã nhận","17 thg 11, 2025 23:54:45","Google","Google","G-441032 là mã xác minh Google của bạn. Đừng chia sẻ với bất kỳ ai."
"Đã nhận","17 thg 11, 2025 22:23:40","VNeID","VNeID","VNeID: Ma OTP 708459 co hieu luc trong 3 phut, su dung de xac thuc cho yeu cau kich hoat tai khoan. Vi ly do bao mat, tuyet doi khong duoc cung cap ma OTP nay cho bat ky ai. Tran trong!"
"Đã nhận","17 thg 11, 2025 21:34:43","VNeID","VNeID","VNeID: Ma OTP 339499 co hieu luc trong 3 phut, su dung de xac thuc cho yeu cau kich hoat tai khoan. Vi ly do bao mat, tuyet doi khong duoc cung cap ma OTP nay cho bat ky ai. Tran trong!"
"Đã nhận","17 thg 11, 2025 21:14:10","VNeID","VNeID","Cuc Canh sat QLHC ve TTXH thong bao: Ho so dang ky thay doi so dien thoai cua cong dan da duoc xu ly. Tran trong"
"Đã nhận","17 thg 11, 2025 10:34:23","NAPTHE_VT","NAPTHE_VT","[TB] Nạp liền tay, Khuyến mại ngay.
Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày hôm nay. Tiền KM sử dụng truy cập Internet trong 15 ngày. Nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm . CT áp dụng cho thuê bao nhận được tin nhắn. LH 198 (0đ)."
"Đã nhận","17 thg 11, 2025 07:07:29","211","211","Tai khoan cua Quy khach sap het. Soan:
1 gui 211 de cong 10 phut noi mang (800d/p), su dung trong 7 ngay
2 gui 211 de cong 3 phut ngoai mang (1.400d/p), su dung trong 7 ngay
3 gui 211 de cong 30 tin nhan noi mang (245d/tin), su dung trong 7 ngay
Chi tiet LH 18008098 (mien phi)."
"Đã nhận","14 thg 11, 2025 14:16:30","NAPTHE_VT","NAPTHE_VT","[TB] NẠP THẺ ONLINE - DATA XÀI NGAY!
Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 15/11/2025. Tiền KM sử dụng truy cập Internet trong 15 ngày. CT áp dụng khi nạp thẻ online qua các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/pay/tt . Chi tiết gọi 197, bấm phím 19 (0đ). Trân trọng."
"Đã nhận","13 thg 11, 2025 15:43:59","MYVIETTELDV","MYVIETTELDV","[QC] Gói 5G10MYT: Chỉ 10.000đ có 6GB data và 2GB truy cập YouTube, ưu đãi sử dụng đến 24h ngày đăng ký. Gói cước không gia hạn. Mua gói ngay tại https://myviettel.go.link/91ZnT. Chi tiết LH 198 (0đ). Từ chối QC, soạn TC3 gửi 199."
"Đã nhận","11 thg 11, 2025 19:44:34","VIETTEL_KM","VIETTEL_KM","[TB] Trả sau giá hời - Data, gọi thả ga
Gói V120K - Giá 120K/tháng có:
- 1,5GB/ngày.
- 50p ngoại mạng, miễn phí 20p/cuộc nội mạng. 
Gói cước gia hạn theo tháng. CT dành riêng cho Quý khách. LH 18008168 (0đ) để đăng ký."
"Đã nhận","11 thg 11, 2025 14:23:50","NAPTHE_VT","NAPTHE_VT","[TB] Nạp liền tay, Khuyến mại ngay.
Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày hôm nay. Tiền KM sử dụng truy cập Internet trong 15 ngày. Nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm . CT áp dụng cho thuê bao nhận được tin nhắn. LH 198 (0đ)."
"Đã nhận","10 thg 11, 2025 17:37:47","MYVIETTELDV","MYVIETTELDV","[QC] Mua gói SD30S trên My Viettel chỉ 30.000đ/7 ngày có tối đa 2GB/ngày. Gói cước không gia hạn. Đăng ký ngay tại https://myviettel.go.link/ch4q6. Chi tiết LH 198 (0đ). Từ chối QC, soạn TC3 gửi 199."
"Đã nhận","10 thg 11, 2025 16:29:47","TV360_DV","TV360_DV","[QC] Tham gia ngay chương trình Chiến binh đua top Cúp TV360 tại https://tv360.vn/game/st để có cơ hội nhận các phần quà hấp dẫn: Điện thoại iPhone 17 Promax, Airpods, iPad Air M3… Chi tiết LH 18008119 (0đ). Từ chối QC, soạn TC4 gửi 199."
"Đã nhận","9 thg 11, 2025 15:20:15","NAPTHE_VT","NAPTHE_VT","[TB] NẠP THẺ ĐỦ ĐẦY - DATA XÀI NGAY!
Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 10/11/2025. Tiền KM sử dụng truy cập Internet trong 15 ngày. Nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm . Chi tiết gọi 197 bấm phím 19 (0đ). Trân trọng."
"Đã nhận","7 thg 11, 2025 17:57:07","VIETTEL_4G","VIETTEL_4G","[TB] DATA TRÀN TRỀ - GÓI CƯỚC THÍCH MÊ!
1. Soạn ST7K gửi 191: 7K có 1GB dùng đến 24h ngày đăng ký.
2. Soạn ST30K gửi 191: 30K/7 ngày có ngay 7GB.
Các gói cước gia hạn khi hết chu kỳ. Chi tiết LH 198 (0đ)."
"Đã nhận","7 thg 11, 2025 17:16:09","NAPTHE_VT","NAPTHE_VT","[TB] Nap lien tay, Khuyen mai ngay.
Tang 20% gia tri tat ca the nap vao tai khoan vien thong trong ngay 08/11/2025. Tien KM su dung truy cap Internet trong 15 ngay. Nap the online tai cac vi dien tu, ung dung thanh toan hoac tai https://viettel.vn/naptienkm . CT ap dung cho thue bao nhan duoc tin nhan. LH 198 (0d)."
"Đã nhận","5 thg 11, 2025 20:01:16","VIETTEL_DV","VIETTEL_DV","[QC] GIA NHẬP GIC, ĐẪM DATA, ĐẬM CÁ TÍNH!
Thắng đời 1-0 khi trở thành thành viên GIC:
- Gói cước rẻ mà data ""khủng long"" mỗi ngày.
- Đặc quyền ""sít rịt"": Sở hữu kho Topping data truy cập TikTok, Facebook, YouTube... không giới hạn dung lượng, đồng giá 10K.
- Ngập tràn voucher ưu đãi ""đủ wow"".
Nhanh tay soạn GIC gửi 195 để gia nhập Vũ trụ số GIC - chân ái cho giới trẻ! LH 198 (0đ). Từ chối QC, soạn TC4 gửi 199."
"Đã nhận","5 thg 11, 2025 18:09:03","VIETTEL_4G","VIETTEL_4G","[TB] DATA TRÀN TRỀ - GÓI CƯỚC THÍCH MÊ!
1. Soạn ST7K gửi 191: 7K có 1GB dùng đến 24h ngày đăng ký.
2. Soạn ST30K gửi 191: 30K/7 ngày có ngay 7GB.
Các gói cước gia hạn khi hết chu kỳ. Chi tiết LH 198 (0đ)."
"Đã nhận","5 thg 11, 2025 08:02:57","191","191","Viettel TB: Gói KS8 đã kết thúc. Để biết các ưu đãi khác, truy cập https://viettel.vn/goidata hoặc bấm gọi *098#. Chi tiết LH 198 (0đ). Trân trọng."
"Đã nhận","4 thg 11, 2025 11:21:59","MYVIETTELDV","MYVIETTELDV","[QC] Khám phá Hành trình số ngay hôm nay để chinh phục các thử thách của chương trình và săn hàng loạt voucher từ các thương hiệu Grab, Shopee, Golden Gate... Tham gia tại https://viettel.vn/Hanhtrinhso. Chi tiết LH 198 (0đ). Từ chối QC, soạn TC3 gửi 199."
"Đã nhận","4 thg 11, 2025 07:59:22","191","191","Quý khách đã đăng ký thành công gói KS8: 8.000đ có 1,2GB sử dụng đến 23:59:59 ngày 04/11/2025. Truy cập https://viettel.vn/kttk để kiểm tra ưu đãi. Soạn HUY KS8 gửi 191 để hủy gói cước. Chi tiết LH 198 (0đ). Trân trọng."
"Đã nhận","2 thg 11, 2025 12:56:59","9778","9778","Tai khoan cua Quy khach sap het, soan UT hoac Y gui 9778 (trong vong 48h) de duoc cong 15.000d, su dung trong 48 gio tu DV Fast Airtime. Tai khoan cong se duoc tru khi Quy khach nap the. Tai khoan cong chua su dung het se bi huy khi het thoi gian su dung (Tai khoan cong chi su dung goi, nhan tin noi mang va ngoai mang). Tu choi nhan tin nhan, soan TC gui 9778. Chi tiet LH 18008098 (mien phi)."
"Đã nhận","2 thg 11, 2025 12:56:48","9118","9118","Tai khoan cua Quy khach sap het. Soan UT hoac Y gui 9118 de xac nhan cong 25000d vao tai khoan (cuoc DV 3750d). De cong muc thap hon, soan UTx gui 9118 (x la boi so cua 5) hoac bam 1588sodienthoai de yeu cau nguoi nghe la thue bao Viettel tra phi cuoc goi. Chi tiet soan HD gui 9118 hoac LH 18008098 (0d). Xin cam on."
"Đã nhận","2 thg 11, 2025 12:56:42","211","211","Tai khoan cua Quy khach sap het. Soan:
1 gui 211 de cong 10 phut noi mang (800d/p), su dung trong 7 ngay
2 gui 211 de cong 3 phut ngoai mang (1.400d/p), su dung trong 7 ngay
3 gui 211 de cong 30 tin nhan noi mang (245d/tin), su dung trong 7 ngay
Chi tiet LH 18008098 (mien phi)."
"Đã nhận","2 thg 11, 2025 11:13:14","VIETTEL_5G","VIETTEL_5G","[TB] DATA CHO MỖI CHUYẾN ĐI!
1. Soạn ST7K gửi 191: 7K có 1GB sử dụng đến 24h ngày đăng ký
2. Soạn 5G30 gửi 191: 30K/3 ngày có 7GB/ngày
Các gói cước gia hạn khi hết chu kỳ. Chi tiết LH 198 (0đ)."
"Đã nhận","2 thg 11, 2025 11:13:13","VIETTEL_5G","VIETTEL_5G","[TB] DATA CHO MỖI CHUYẾN ĐI!
1. Soạn ST7K gửi 191: 7K có 1GB
2. Soạn 5G10 gửi 191: 10K có 6GB
Ưu đãi sử dụng đến 24h ngày đăng ký. Các gói cước gia hạn theo ngày. Chi tiết LH 198 (0đ)."
"Đã nhận","27 thg 10, 2025 08:50:10","191","191","Viettel TB: Gói ST7K đã kết thúc. Để biết các ưu đãi khác, truy cập https://viettel.vn/goidata hoặc bấm gọi *098#. Chi tiết LH 198 (0đ). Trân trọng."
"Đã nhận","26 thg 10, 2025 11:00:03","191","191","Quý khách đã hủy gia hạn gói ST7K, ưu đãi còn lại của gói ST7K vẫn được sử dụng đến hết chu kỳ. Để biết thông tin các ưu đãi khác, vui lòng bấm gọi *098#. Chi tiết LH 198 (0đ). Trân trọng."
"Đã gửi","26 thg 10, 2025 10:59:53","191","","Y"
"Đã nhận","26 thg 10, 2025 10:59:46","191","191","Sau khi hủy gia hạn gói ST7K, ưu đãi còn lại sẽ được sử dụng đến hết chu kỳ. Để xác nhận, soạn Y gửi 191 trong vòng 10 phút. Để từ chối, soạn N gửi 191. Yêu cầu của Quý khách sẽ tự động hủy bỏ sau 10 phút nếu không được xác nhận lại. Chi tiết LH 198 (0đ). Trân trọng."
"Đã gửi","26 thg 10, 2025 10:59:34","191","","HUY ST7K"
"Đã nhận","26 thg 10, 2025 09:17:15","VIETTEL","VIETTEL","[TB] Viettel trân trọng thông báo đến Quý khách Văn bản chấp thuận về xử lý và bảo vệ dữ liệu cá nhân của Viettel (căn cứ theo Nghị định 13/2023/NĐ-CP). Quý khách vui lòng đọc và xác nhận đồng ý với nội dung văn bản tại https://viettel.vn/Xacnhannghidinh13 để đảm bảo các sản phẩm, dịch vụ của Viettel được cung cấp đến Quý khách được xuyên suốt và hiệu quả. Trân trọng."
"Đã nhận","26 thg 10, 2025 08:26:17","211","211","Tai khoan cua Quy khach sap het. Soan:
1 gui 211 de cong 10 phut noi mang (800d/p), su dung trong 7 ngay
2 gui 211 de cong 3 phut ngoai mang (1.400d/p), su dung trong 7 ngay
3 gui 211 de cong 30 tin nhan noi mang (245d/tin), su dung trong 7 ngay
Chi tiet LH 18008098 (mien phi)."
"Đã nhận","26 thg 10, 2025 08:15:51","9118","9118","Tai khoan cua Quy khach sap het. Soan UT hoac Y gui 9118 de xac nhan cong 25000d vao tai khoan (cuoc DV 3750d). De cong muc thap hon, soan UTx gui 9118 (x la boi so cua 5) hoac bam 1588sodienthoai de yeu cau nguoi nghe la thue bao Viettel tra phi cuoc goi. Chi tiet soan HD gui 9118 hoac LH 18008098 (0d). Xin cam on."
"Đã nhận","26 thg 10, 2025 07:16:58","9778","9778","Tai khoan cua Quy khach sap het, soan UT hoac Y gui 9778 (trong vong 48h) de duoc cong 15.000d, su dung trong 48 gio tu DV Fast Airtime. Tai khoan cong se duoc tru khi Quy khach nap the. Tai khoan cong chua su dung het se bi huy khi het thoi gian su dung (Tai khoan cong chi su dung goi, nhan tin noi mang va ngoai mang). Tu choi nhan tin nhan, soan TC gui 9778. Chi tiet LH 18008098 (mien phi)."
"Đã nhận","26 thg 10, 2025 00:09:31","191","191","Quý khách đã đăng ký thành công gói ST7K: 7.000đ/ngày có 1GB sử dụng đến 23:59:59 ngày 26/10/2025. Truy cập https://viettel.vn/kttk để kiểm tra ưu đãi. Gói cước gia hạn theo ngày. Để hủy gia hạn, soạn HUY ST7K gửi 191. Chi tiết LH 198 (0đ). Trân trọng."
"Đã gửi","26 thg 10, 2025 00:09:17","191","","ST7K"
"Đã nhận","25 thg 10, 2025 22:55:15","9598","9598","Moi Quy khach soan tin de tham gia DV Data Plus:
1 gui 9598 de cong 500MB (cuoc 6000d, su dung trong 24h)
2 gui 9598 de cong 1024MB (cuoc 9144d, su dung trong 24h)
. Tin nhan co hieu luc trong 24h. Chi tiet LH 18008098 (mien phi)."
"Đã nhận","25 thg 10, 2025 22:52:10","191","191","Quy khach da su dung het luu luong cua Viettel++ va tiep tuc truy cap theo goi Mobile Internet dang su dung (neu co). Chi tiet LH 198 (0d). Tran trong."
"Đã nhận","25 thg 10, 2025 22:39:08","191","191","Đăng ký không thành công do chương trình không áp dụng cho thuê bao. Để tham gia các gói ưu đãi hơn, soạn ST7K gửi 191 (7K có 1GB) hoặc soạn 5G10 gửi 191 (10K có 6GB), ưu đãi sử dụng đến 24h ngày đăng ký, các gói cước gia hạn theo ngày. Chi tiết LH 198 (0đ). Trân trọng."
"Đã gửi","25 thg 10, 2025 22:38:54","191","","ST5K"
"Đã nhận","25 thg 10, 2025 17:14:14","VIETTELPLUS","VIETTELPLUS","Doi thanh cong 100 diem tieu dung Viettel++ thanh 20 MB Data. Han su dung truoc 26/10/2025. Tong diem tieu dung con lai trong tai khoan Viettel++ cua Quy khach la 44 diem. De kiem tra lich su doi diem va lua chon uu dai hap dan khac, vui long truy cap https://vietteltelecom.vn/vtplus. Tran trong."
"Đã nhận","24 thg 10, 2025 15:07:51","NAPTHE_VT","NAPTHE_VT","[TB] NẠP THẺ ĐỦ ĐẦY - DATA XÀI NGAY!
Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 25/10/2025. Tiền KM sử dụng truy cập Internet trong 15 ngày. Nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm . Chi tiết gọi 197 bấm phím 19 (0đ). Trân trọng."
"Đã nhận","22 thg 10, 2025 18:39:00","VIETTEL_HCM","VIETTEL_HCM","[QC] Cơ hội TRÚNG XE MÁY HONDA SH 125i PHIÊN BẢN THỂ THAO khi hòa mạng Internet Viettel và đóng trước cước từ 6 tháng trở lên, cước thuê bao chỉ từ 220.000đ/tháng. LH 18008168 (0đ) để được tư vấn gói cước và phí hòa mạng. CT áp dụng từ 1/10 - 31/12/2025 tại TP. Hồ Chí Minh. Từ chối QC, soạn TC3 gửi 199."
"Đã nhận","22 thg 10, 2025 10:56:42","Google","Google","G-705189 là mã xác minh Google của bạn. Đừng chia sẻ với bất kỳ ai."
"Đã nhận","20 thg 10, 2025 15:29:59","MTTQ","MTTQ","[TB] MTTQ Việt Nam kêu gọi chung tay ủng hộ đồng bào bị thiệt hại do bão lũ gây ra. Các tài khoản tiếp nhận: 55102025 tại Vietinbank; 8639699999 tại BIDV; 1400666102025 tại Agribank; 8888881010 tại Vietcombank; 0606 tại MBbank."
"Đã nhận","19 thg 10, 2025 23:22:47","191","191","[TB] Viettel kinh moi Quy khach trai nghiem dich vu goi dien chat luong cao tren ha tang 4G - HD Call (cuoc goi tinh theo goi cuoc Quy khach dang su dung). Chi tiet truy cap ung dung My Viettel tai https://myvt.page.link/volte hoac LH 198 (0d). Tran trong."
"Đã nhận","17 thg 10, 2025 09:24:51","VIETTEL","VIETTEL","[TB] Mừng 25 năm Viettel Telecom - Cảm ơn Quý khách đã lựa chọn và đồng hành!
Để nhận ưu đãi điểm Viettel++ tương ứng với số năm Quý khách đã gắn bó cùng Viettel, truy cập https://vietteltelecom25.tv360.vn . CT áp dụng từ 15-25/10/2025. Chi tiết LH 198 (0đ). Trân trọng!"
"Đã nhận","16 thg 10, 2025 17:53:05","VIETTEL_5G","VIETTEL_5G","[TB] GÓI 5G MỚI, ƯU ĐÃI CỰC HỜI!
1. Soạn ST7K gửi 191: 7K có 1GB
2. Soạn 5G10 gửi 191: 10K có 6GB
Ưu đãi sử dụng đến 24h ngày đăng ký. Các gói cước gia hạn theo ngày. Chi tiết LH 198 (0đ)."
"Đã nhận","16 thg 10, 2025 15:48:22","VIETTEL","VIETTEL","[TB] Viettel khuyến nghị Quý khách cập nhật phần mềm điện thoại lên phiên bản mới nhất và bật chế độ VoLTE trên máy để sử dụng được dịch vụ Cuộc gọi 4G/5G (chất lượng thoại tốt hơn, không tốn data, cước tính như cuộc gọi thông thường). Hướng dẫn bật VoLTE tại https://viettel.vn/volte. LH 198 (0đ). Trân trọng."
"Đã nhận","15 thg 10, 2025 11:53:02","UIT","UIT","Truong DH CNTT thong bao nghi hoc Mon Khai thac du lieu truyen thong xa hoi(IE403.Q11) vao thu 4 ngay 15 thang 10 nam 2025. Chi tiet vui long lien he (028) 372 52002 chon 155"
"Đã nhận","14 thg 10, 2025 15:29:23","NAPTHE_VT","NAPTHE_VT","[TB] NẠP THẺ ONLINE - DATA XÀI NGAY!
Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 15/10/2025. Tiền KM sử dụng truy cập Internet trong 15 ngày. CT áp dụng khi nạp thẻ online qua các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/pay/tt . Chi tiết gọi 197, bấm phím 19 (0đ). Trân trọng."
"Đã nhận","11 thg 10, 2025 14:44:12","VIETTEL_5G","VIETTEL_5G","[TB] DATA CHO MỖI CHUYẾN ĐI!
1. Soạn ST7K gửi 191: 7K có 1GB
2. Soạn 5G10 gửi 191: 10K có 6GB
Ưu đãi sử dụng đến 24h ngày đăng ký. Các gói cước gia hạn theo ngày. Chi tiết LH 198 (0đ)."
"Đã nhận","11 thg 10, 2025 08:41:02","VIETTEL","VIETTEL","[TB] Viettel trân trọng thông báo đến Quý khách Văn bản chấp thuận về xử lý và bảo vệ dữ liệu cá nhân của Viettel (căn cứ theo Nghị định 13/2023/NĐ-CP). Quý khách vui lòng đọc và xác nhận đồng ý với nội dung văn bản tại https://viettel.vn/Xacnhannghidinh13 để đảm bảo các sản phẩm, dịch vụ của Viettel được cung cấp đến Quý khách được xuyên suốt và hiệu quả. Trân trọng."
"Đã nhận","9 thg 10, 2025 16:06:58","NAPTHE_VT","NAPTHE_VT","[TB] NẠP THẺ ĐỦ ĐẦY - DATA XÀI NGAY!
Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày 10/10/2025. Tiền KM sử dụng truy cập Internet trong 15 ngày. Nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm . Chi tiết gọi 197 bấm phím 19 (0đ). Trân trọng."
"Đã nhận","9 thg 10, 2025 08:37:03","191","191","Viettel TB: Gói KS8 đã kết thúc. Để biết các ưu đãi khác, truy cập https://viettel.vn/goidata hoặc bấm gọi *098#. Chi tiết LH 198 (0đ). Trân trọng."
"Đã nhận","8 thg 10, 2025 10:28:36","191","191","Quý khách đã đăng ký thành công gói KS8: 8.000đ có 1,2GB sử dụng đến 23:59:59 ngày 08/10/2025. Truy cập https://viettel.vn/kttk để kiểm tra ưu đãi. Soạn HUY KS8 gửi 191 để hủy gói cước. Chi tiết LH 198 (0đ). Trân trọng."
"Đã nhận","7 thg 10, 2025 14:35:09","VIETTEL_DV","VIETTEL_DV","[QC] DATA LƯỚT MẠNG CẢ NGÀY.
Soạn GIC70N gửi 191: Chỉ 70K/30 ngày, có 1GB/ngày, nghe toàn bộ nội dung sách nói Mydio. DV gia hạn sau 30 ngày. 
Lưu ý: CT dành riêng cho thuê bao từ 6-22 tuổi đang sử dụng gói cước GIC của Viettel. Để chuyển đổi sang gói cước GIC, soạn GIC gửi 195. LH 198 (0đ). Từ chối QC, soạn TC4 gửi 199."
"Đã nhận","7 thg 10, 2025 12:25:50","Google","Google","G-050660 là mã xác minh Google của bạn. Đừng chia sẻ với bất kỳ ai."
"Đã nhận","7 thg 10, 2025 10:41:23","MYVIETTELDV","MYVIETTELDV","[QC] Khám phá Hành trình số ngay hôm nay để chinh phục các thử thách của chương trình và săn hàng loạt voucher từ các thương hiệu Grab, Shopee, Golden Gate... Tham gia tại https://viettel.vn/Hanhtrinhso. Chi tiết LH 198 (0đ). Từ chối QC, soạn TC3 gửi 199."
"Đã nhận","4 thg 10, 2025 14:19:27","MYVIETTELDV","MYVIETTELDV","[QC] Gói 5G10MYT: Chỉ 10.000đ có 6GB data và 2GB truy cập YouTube, ưu đãi sử dụng đến 24h ngày đăng ký. Gói cước không gia hạn. Mua gói ngay tại https://myviettel.go.link/91ZnT. Chi tiết LH 198 (0đ). Từ chối QC, soạn TC3 gửi 199."
"Đã nhận","3 thg 10, 2025 08:07:34","191","191","Viettel TB: Gói KS8 đã kết thúc. Để biết các ưu đãi khác, truy cập https://viettel.vn/goidata hoặc bấm gọi *098#. Chi tiết LH 198 (0đ). Trân trọng."
"Đã nhận","2 thg 10, 2025 16:32:26","MYVIETTELDV","MYVIETTELDV","[QC] Gói 5G10MTT: Chỉ 10.000đ có 6GB data và 2GB truy cập TikTok, ưu đãi sử dụng đến 24h ngày đăng ký. Gói cước không gia hạn. Mua gói ngay tại https://myviettel.go.link/3fJae. Chi tiết LH 198 (0đ). Từ chối QC, soạn TC3 gửi 199."
"Đã nhận","2 thg 10, 2025 14:22:39","195","195","Quy khach co 10.008 dong trong tai khoan. Bam goi *098*3# de co 3GB voi 15.000d/3 ngay hoac *098*989# (30.000d/3 ngay) co 15GB (5GB/ngay), mien phi 10 phut/cuoc noi mang, 15 phut ngoai mang, SMS noi mang va TV360. Goi cuoc gia han khi het chu ky. De biet thong tin cac uu dai khac, bam goi *098# hoac truy cap https://vietteltelecom.vn/goidata. Chi tiet LH 198 (0d). Tran trong."
